name,ean,price,in_stock
Cottage cheese President Tvorozhna Tradyciya 5% 250g,4823065710044,867.94,true
NESCAFÉ® Gold instant coffee 60g,7613035524835,577.02,true
Mlekovita Hanusi cottage cheese,5900512221038,754.94,true
Fort ground coffee 250g,5900788201253,510.42,true
Lavr Beef Semi-smoked Sausage from Organic Materials 250g,4820207700666,272.39,true
L`or Crema Absolu in grains coffee 500g,8711000369852,536.59,true
Baileys Milk Chocolate Coffee Filling 90g,5099872016689,380.69,true
Bonaqua Natural Drinking Non-Carbonated Water 1l,5449000005489,941.79,true
President tradition cottage cheese 5% 1kg,4823065721477,778.88,true
San Benedetto mineral non-carbonated water 500ml,metro00000080007951,651.45,true
Kimbo Aroma Gold 100% Arabica whole beans coffee 1kg,8002200102180,189.05,true
Mlekovita Cheese without lactose sour milk 4% 230g,5900512982175,374.39,true
Galychyna Carpathian Cottage Cheese 5% 300g,4820003256701,218.34,true
Rancho Na drovakh beef semi-smoked Sausage 400g,4823079001954,213.7,true
"Still water Bon Aqua plastic bottle 15l",5449000186140,814.14,true
NESCAFÉ® Classic instant coffee 60g,7613035585881,283.51,true
Jacobs Barista Editions Strong ground coffee 225g,8714599103883,759.71,true
"BonAqua Still mineral water glass bottle 033l",5449000200297,964.88,true
Metro Chef Milanese Smoked Sausage Top Grade 320g,4823036504092,562.8,true
Harmash grand-fillet raw cured sausage 320g,4820084980137,819.93,true
Paulig Indonesia Coffee Natural Fried Ground 450g,6411300170494,651.47,true
Galychyna Cottage Cheese Low-Fat 300g,4820038494178,791.15,true
"Bonaqua Natural Drinking Non-Carbonated Water 15l",5449000045478,14.89,true
NESCAFÉ® Classic instant coffee 350g,7613035818644,804.35,true
Meat Guild Sausage Servelat cooked smoked 450g,4823079001817,24.74,true
Myasna gildiya Bavarsʹka semi-smoked sausage 450g,4823079002500,322.86,true
Biovela Bernu Raw-Cured Sausage 200g,4770081165542,172.17,true
"Rioba Ethiopia  Coffee Сapsules 55gx11pcs",4337182344605,809.93,true
San Benedetto Mineral water carbonated natural 1l,8001620006788,629.99,true
Truffle candies with a taste of coffee 150g,5420066370025,654.91,true
Jameson Cold Brew Whiskey & Coffee Spirit Drink 30% 0.7l,5011007020569,148.28,true
President with sour milk cottage cheese 9% 180g,4823065722511,636.42,true
Kimbo Intenso Whole Beans Coffee 1kg,8002200109080,306.27,true
Count: 121,,,
